Gracz: Kacper | Wynik: 6
Gracz: Kacper | Wynik: 0
Gracz: Kacper | Wynik: 0
Gracz: Kacper | Wynik: 13
Gracz: Filip | Wynik: 4
Gracz: Kacper | Wynik: 3540
Gracz: Kappi | Wynik: 1840
Gracz: Kacper | Wynik: 640
Gracz: das | Wynik: 1260
Gracz: Kacper | Wynik: 1300
Gracz: Kacper | Wynik: 1810
Gracz: Kacper | Wynik: 1190
Gracz: Kacper | Wynik: 290
Gracz: Kacper | Wynik: 1580
Gracz: Filip | Wynik: 1440
Gracz: Kacper | Wynik: 180
Gracz: Kacper | Wynik: 10
Gracz: Kacper | Wynik: 820
Gracz: Kacper | Wynik: 10
Gracz: Kacper | Wynik: 940
Gracz: Kacper | Wynik: 10
Gracz: Kacper | Wynik: 1690
Gracz: Kacper | Wynik: 10
Gracz: Filip | Wynik: 1330
Gracz: Fifi | Wynik: 1150
Gracz: Kacper | Wynik: 1810
Gracz: Kacper | Wynik: 540
Gracz: Kacper | Wynik: 320
Gracz: Fifi | Wynik: 370
Gracz: Fifi | Wynik: 1810
Gracz: Kacper | Wynik: 1150
